mlid,ref_parent,path,title,Level
105,101,http://www.youtube.com/user/GTMBestPractices,YouTube,2
106,101,http://www.facebook.com/pages/Amber+Road/507641042664548,Facebook,2
107,101,https://plus.google.com/100833232171840180230?prsrc=3,Google+,2
108,101,http://www.pinterest.com/gtmbestpractice/,Pinterest,2
109,85,html/resources.shtml#industry,Industry Resources,1
110,109,html/rl_acronyms.shtml,Acronyms,2
111,109,html/rl_country_links.shtml,Country Links,2
112,109,html/rl_faq.shtml,FAQs on Trade Regulations,2
113,109,html/rl_glossary.shtml,Glossary,2
114,109,html/rl_incoterms.shtml,Incoterms,2
115,85,html/resources.shtml#nextsteps,Next Steps,1
116,115,html/contact_us.shtml,Contact Us,2
117,115,http://info.amberroad.com/rl_rd.html,Request a Demo,2
118,0,html/company.shtml,Company,0
119,118,html/about_us.shtml,About Us,1
120,119,html/customers.shtml,Customers,2
121,119,html/management.shtml,Management Team,2
122,119,html/testimonials.shtml,Testimonials,2
123,118,html/contact_us.shtml,Contact Us,1
124,123,html/cu_customer_support.shtml,Customer Support,2
125,123,http://info.amberroad.com/contact_question.html,Have a Question?,2
126,123,http://info.amberroad.com/rl_rd.html,Request Demo,2
127,118,http://investor.amberroad.com/,Investor Relations,1
128,118,html/events.shtml,Events,1
129,128,html/industry_events.shtml,Industry Conferences,2
130,128,html/seminars.shtml,Seminars,2
131,128,html/evolve12.shtml,User Conference - eVOLVE,2
132,128,html/webinars.shtml,Upcoming Webinars,2
133,118,html/careers.shtml,Careers,1
134,133,html/careers_ap.shtml,Asia Pacific,2
135,133,html/careers_eu.shtml,Europe,2
136,133,html/careers_ind.shtml,India,2
137,133,html/careers_us.shtml,US,2
138,118,html/partners.shtml,Partners,1
139,118,html/services.shtml,Services,1
140,139,html/customer_support.shtml,24 x 7 Customer Support,2
141,139,html/implementation_methodology.shtml,Implementation Methodology,2
142,139,html/professional_services.shtml,Professional Services Team,2
143,118,html/press.shtml,Press Room,1
144,143,html/awards.shtml,Awards,2
145,143,html/press_coverage.shtml,Press Coverage,2
146,143,html/press_releases.shtml,Press Releases,2
147,118,html/platform.shtml,Platform,1
148,147,html/trading_partner_network.shtml,Trading Partner Network,2
149,147,html/technology_platform.shtml,Technology Platform,2
150,118,html/industries.shtml,Industries,1
151,150,html/aerospace.shtml,Aerospace and Defense,2
152,150,html/apparel.shtml,Apparel,2
153,150,html/automotive.shtml,Automotive,2
154,150,html/chemical.shtml,Chemical,2
155,150,html/consumer_goods.shtml,Consumer Goods,2
156,150,html/financial_services.shtml,Financial Services,2
157,150,html/technology.shtml,High Technology,2
158,150,html/higher_education.shtml,Higher Education,2
159,150,html/life_sciences.shtml,Life Sciences,2
160,150,html/logistics_providers.shtml,Logistics Providers,2
161,150,html/manufacturing.shtml,Manufacturing,2
162,150,html/oil_and_gas.shtml,Oil and Gas,2
163,150,html/retail.shtml,Retail,2
